hour,SARIMA_MAPE,LightGBM_MAPE
0,0.9047287315501779,4.43739406853097
1,1.0960335582010972,4.07633119271413
2,1.0128796215630587,4.6026876134217725
3,1.0886776158747584,4.314015514802417
4,1.6368177344584585,4.06174408278534
5,2.7206082869848913,3.2215747187989043
6,4.751483770832338,3.453171742270896
7,4.356272276935614,3.19378348925923
8,4.4937618253256995,3.0835851078687755
9,5.266582238484005,3.9433735543482227
10,5.454352115561384,3.9661203888591254
11,5.333621267001747,3.965619694362606
12,5.53253091015327,3.9412931169671
13,5.23435733106661,4.0268931490323485
14,5.465179499238423,4.584002806656645
15,5.941053107235105,4.475021177419661
16,5.6262811796293315,4.742851818636186
17,5.80829434307269,3.8553763214351786
18,5.359480417998197,3.6521612817426448
19,5.128912296677178,2.8886452578556376
20,5.228172194720531,4.080374153582349
21,5.510775098590477,4.4090554245779865
22,5.783087204744327,7.26196499727155
23,5.392660670865164,5.9689736018910144
